Timestamp,Permission,Gender,Postal Code,Education,Education Institution,Years of experience,Employment Commitment,Employment Type,Job Category,Monthly Salary,Job Title
15/06/2022 12:16:17,Yes,Male,9000,Master,Aalborg University - Interactive Digital Media,2,Full-time (37 hours or more per week),Corporate,UX Designer,30000,UX Designer
15/06/2022 12:21:52,Yes,Male,1112,Academy Profession (AP) Degree,Cand.Mag. Mediascience,10,Full-time (37 hours or more per week),Corporate,UX Designer,53000,UX Designer
15/06/2022 12:22:55,Yes,Male,2605,"Self-taught, Academy Profession (AP) Degree",KEA,7,Full-time (37 hours or more per week),Corporate,Manager,56000,Head of Digital Sales and UX
15/06/2022 12:38:02,Yes,Female,1780,Master,University of Aarhus,4,Full-time (37 hours or more per week),Corporate,Service Designer,43000,Service Designer
15/06/2022 12:42:35,Yes,Female,2800,Master,ITU,3,Full-time (37 hours or more per week),Startup,UX/UI Designer,34000,UX/UI designer
15/06/2022 12:51:42,Yes,Female,2400,Bachelor,BA Visuel Communication,7,Full-time (37 hours or more per week),Agency/consultancy,Product Designer,43000,Senior Product Designer (UI)
15/06/2022 12:55:19,Yes,Female,9220,PhD,AAU,18,Full-time (37 hours or more per week),Corporate,Manager,68000,Lead UX Designer
15/06/2022 12:59:51,Yes,Female,8200,Master,"Information Studies, Aarhus University (Cand.IT)",2,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,35000,Professional User Experience Consultant
15/06/2022 13:54:05,Yes,Female,8000,Bachelor,EAAA,2,Full-time (37 hours or more per week),Corporate,Product Designer,40000,digital product designer
15/06/2022 13:58:09,Yes,Male,2100,"Bachelor, Master",DTU,5,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,45000,Senior ux designer
15/06/2022 14:51:35,Yes,Female,10920,Master,IT University of Copenhagen,4,Full-time (37 hours or more per week),Corporate,UX Designer,44000,UX Designer
15/06/2022 15:00:03,Yes,Female,2650,Master,Kea and ITU,5,Full-time (37 hours or more per week),Corporate,Manager,53500,UX Chapter Lead
15/06/2022 15:32:17,Yes,Male,8200,Master,AU,4,Part time (Less than 37 hours a week),Corporate,UX Designer,44200,Senior UX Designer
15/06/2022 17:42:39,Yes,Male,1253,"Academy Profession (AP) Degree, Bachelor, Master","KEA, Aalborg University, ITU",20,Full-time (37 hours or more per week),Scale-up,Product Designer,70000,Senior UX/UI Designer
15/06/2022 19:38:11,Yes,Female,9000,"Bachelor, Master, UX Course",AAU and ITU,3,Full-time (37 hours or more per week),Corporate,UX/UI Designer,36000,Ux designer
15/06/2022 19:54:34,Yes,Genderqueer,2300,Master,Aalborg University,4,Full-time (37 hours or more per week),Corporate,UX Designer,44000,Business Analyst - Experience Designer
15/06/2022 21:02:12,Yes,Female,2300,PhD,"DTU, AAU",10,Full-time (37 hours or more per week),Corporate,UX Designer,61500,Ux & design thinking lead
15/06/2022 21:28:26,Yes,Male,2300,"Master, PhD",DTU,4,Full-time (37 hours or more per week),Scale-up,Product Designer,,n
15/06/2022 22:03:45,Yes,Female,9000,Master,Aalborg University,3,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,40000,Product designer
15/06/2022 22:20:02,Yes,Male,2900,"Self-taught, Academy Profession (AP) Degree",KEA + Online courses + Design School abroad,15,Part time (Less than 37 hours a week),Corporate,Digital Designer,60000,Design Lead
16/06/2022 00:16:25,Yes,Female,2750,Master,"KADK
",11,Full-time (37 hours or more per week),Corporate,UX Designer,72000,Sr. UX Designer
16/06/2022 13:28:19,Yes,Male,2700,"Self-taught, UX Course",None they apply here,5,Full-time (37 hours or more per week),Corporate,UX Designer,56000,Lead Experience Designer
16/06/2022 15:14:26,Yes,Male,2300,Master,ITU,5,Full-time (37 hours or more per week),Innovation unit,Strategist,51500,Innovation Lead
20/06/2022 11:11:58,Yes,Male,2800,"Master, UX Course",ITU,7,Full-time (37 hours or more per week),Government,Educator,39000,Teacher
20/06/2022 15:09:11,Yes,Female,2200,"Academy Profession (AP) Degree, Bachelor",KEA,3,Part time (Less than 37 hours a week),Scale-up,Digital Designer,24000,Communication
20/06/2022 20:52:37,Yes,Female,7190,"Bachelor, UX Course","Kea, IDF",3,Full-time (37 hours or more per week),Corporate,Product Designer,40000,Digital Product Designer
21/06/2022 14:29:29,Yes,Female,1059,Master,DTU,0,Full-time (37 hours or more per week),Corporate,UX Designer,43000,UX Designer
21/06/2022 15:36:09,Yes,Female,2500,Master,DTU,2,Full-time (37 hours or more per week),Startup,Product Designer,37000,UI/UX Designer
21/06/2022 22:07:28,Yes,Male,1100,Self-taught,None,24,Full-time (37 hours or more per week),Corporate,Manager,66800,Senior Design Manager
22/06/2022 10:13:48,Yes,Female,1613,Master,Københavns Universitet (BA) and IT-Universitetet i København (Master),4,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,43000,Customer Experience Architect
22/06/2022 10:53:47,Yes,Female,1605,Master,ITU,10,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,58500,CX Director
22/06/2022 11:12:13,Yes,Female,2300,"Self-taught, Bachelor",The Danish school of media and journalisme,9,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,43500,UX Consultant
22/06/2022 12:33:31,Yes,Male,2860,Self-taught,None,18,Full-time (37 hours or more per week),Corporate,Strategist,61000,Senior Experience designer
22/06/2022 13:31:22,Yes,Female,1411,"Bachelor, Master",It university copenhagen,6,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,49000,Senior User Experience Designer
22/06/2022 14:41:42,Yes,Female,5250,Bachelor,Ucl,1,Internship - unpaid,Corporate,UX Researcher,32000,UX design & strategy
25/06/2022 09:15:32,Yes,Female,2100,Master,IT-university of Copenhagen,5,Full-time (37 hours or more per week),Corporate,UX/UI Designer,40000,Product designer
25/06/2022 22:07:13,Yes,Female,2400,Master,AAU,0,Full-time (37 hours or more per week),Government,Service Designer,32000,Process consultant
26/06/2022 23:08:55,Yes,Male,1213,"Bachelor, UX Course",RUC kommunikation,10,Full-time (37 hours or more per week),Corporate,UX/UI Designer,45000,ux specialist
27/06/2022 13:36:27,Yes,Female,1000,Master,It universitetet,15,Freelance/consultant,Corporate,UX Designer,,UX designer & researcher
27/06/2022 16:39:09,Yes,Female,2750,Master,Designskolen Kolding,19,Freelance/consultant,Corporate,Strategist,,Senior UX designer
27/06/2022 17:41:19,Yes,Male,2200,"Bachelor, Master",AAU Aalborg,12,Freelance/consultant,Corporate,UX Designer,,Data Analyst
27/06/2022 18:43:46,Yes,Female,2300,Master,Itu,8,Independent - business owner,Corporate,UX Researcher,,Strategic UX designer
27/06/2022 18:50:02,Yes,Female,2750,Master,Dtu,1,Full-time (37 hours or more per week),Corporate,UX Designer,35000,Digital user Experience Specialist
28/06/2022 06:25:08,Yes,Prefer not to say,1000,Academy Profession (AP) Degree,KEA,12,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,24000,UX Designer
28/06/2022 14:25:44,Yes,Male,2920,"Self-taught, Academy Profession (AP) Degree",Hyper Island,17,Freelance/consultant,Own company,UI Designer,105000,Freelance Product/UI Designer
28/06/2022 15:26:42,Yes,Male,2300,"Master, UX Course",ITU,11,Full-time (37 hours or more per week),Corporate,UX Designer,64000,Senior UX Designer
29/06/2022 09:44:49,Yes,Male,1371,Master,ITU,12,Freelance/consultant,Corporate,Product Designer,,UX Design consultant
29/06/2022 10:09:19,Yes,Female,2000,Master,"KADK, ITU",15,Freelance/consultant,Variations of the above,UX Designer,100000,UX designer and researcher
29/06/2022 10:29:44,Yes,Male,2500,"Self-taught, Bachelor",Aalborg Universitet,14,Freelance/consultant,Corporate,UX Designer,,Senior UX designer
05/07/2022 08:41:28,Yes,Male,1613,Self-taught,None,14,Full-time (37 hours or more per week),Agency/consultancy,UX/UI Designer,65000,Experience Design Director
07/07/2022 19:57:53,Yes,Female,1500,"Bachelor, Master",AAU,4,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,42000,Experience designer
07/07/2022 20:03:28,Yes,Male,1434,Master,Aalborg Universitet,6,Full-time (37 hours or more per week),Scale-up,Product Designer,53000,Product Design Lead
13/07/2022 09:57:47,Yes,Female,2100,Master,ITU,1,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,36500,UX designer
01/08/2022 14:57:45,Yes,Female,1717,Academy Profession (AP) Degree,KEA,3,Full-time (37 hours or more per week),Scale-up,Product Designer,42000,Product Designer
01/08/2022 19:26:37,Yes,Female,1799,"Self-taught, Master, UX Course",Medievidenskab KUA,9,Full-time (37 hours or more per week),Corporate,Strategist,51000,Accessibility Lead
01/08/2022 20:45:08,Yes,Female,2100,Bachelor,KEA,6,Full-time (37 hours or more per week),Corporate,UX Designer,60000,Senior user experience specialist
01/08/2022 23:13:16,Yes,Female,2100,Master,"AAU, Information Science",5,Full-time (37 hours or more per week),Corporate,UX Designer,47000,Senior UX designer
03/08/2022 08:27:10,Yes,Prefer not to say,700004,"Self-taught, Bachelor, UX Course",Design Boat school,1,Full-time (37 hours or more per week),Agency/consultancy,Visual Designer,75000,Graphic Visualizer
03/08/2022 08:54:53,Yes,Male,2500,"Self-taught, Bachelor",Copenhagen Technical Academy,12,Full-time (37 hours or more per week),Scale-up,Digital Designer,68500,Product Design Lead
07/08/2022 08:53:18,Yes,Male,1253,Master,ITU,10,Full-time (37 hours or more per week),Corporate,Service Designer,70000,Design Lead
09/08/2022 09:29:34,Yes,Female,1100,"Master, PhD",None,3,Full-time (37 hours or more per week),Corporate,UX Researcher,62500,Senior User Researcher
09/08/2022 16:19:06,Yes,Female,2200,Master,Prefer not to answer to keep things anonymous,8,Full-time (37 hours or more per week),Agency/consultancy,Product Designer,54000,Lead Designer
15/08/2022 12:10:57,Yes,Male,1434,Master,Aalborg University,6,Full-time (37 hours or more per week),Scale-up,Product Designer,53000,Design Lead
15/08/2022 22:20:30,Yes,Female,2400,Master,Masters of science in service system design at AAU and Bachelor in industrial design at Designskolen Kolding,2,Full-time (37 hours or more per week),Startup,Service Designer,32000,Konsulent
19/08/2022 00:57:42,Yes,Male,9000,Master,"AAU, Medialogy",1,Full-time (37 hours or more per week),University,UX Researcher,30500,Research Assistant
19/08/2022 23:10:36,Yes,Female,2000,Master,AAU,8,Full-time (37 hours or more per week),Corporate,Manager,58000,CX Manager
23/08/2022 13:45:10,Yes,Female,2300,Master,"AAU, Experience Design ",1.5,Full-time (37 hours or more per week),Startup,UX Researcher,30000,Junior UX researcher
29/08/2022 18:32:12,Yes,Female,1561,Master,None,11,Full-time (37 hours or more per week),Corporate,UX Designer,64000,UX Designer
29/08/2022 22:04:42,Yes,Female,2500,Master,Design School Kolding,4,Full-time (37 hours or more per week),Agency/consultancy,UX/UI Designer,28000,UX & Visual Designer
30/08/2022 17:30:30,Yes,Female,8900,"Academy Profession (AP) Degree, UX Course","UCN, Interaction Design Foundation",5,Full-time (37 hours or more per week),Startup,Product Designer,30000,Design Lead & Product Specialist
